Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),#MatchedPoints,MatchingTime(ms))
HARRIS,ORB,9,281,34,10.83915700,0.60781700,22,0.08576600

HARRIS,FREAK,0,115,17,7.77617300,26.10398100,0,0.00386000
HARRIS,FREAK,1,98,14,10.11018000,26.07543200,13,0.04355800
HARRIS,FREAK,2,113,18,7.36942700,25.94790300,13,0.05552500
HARRIS,FREAK,3,121,21,7.62867700,26.07575400,15,0.04804800
HARRIS,FREAK,4,160,26,7.98400800,26.02973800,15,0.05457300
HARRIS,FREAK,5,383,43,15.64623400,26.20318800,17,0.06731700
HARRIS,FREAK,6,85,18,7.31542000,26.14132900,20,0.06494000
HARRIS,FREAK,7,210,31,8.57850900,26.16139600,12,0.04982300
HARRIS,FREAK,8,171,26,8.05933400,26.10776800,21,0.06149900
HARRIS,FREAK,9,281,34,10.95520000,26.27023600,18,0.05831000

HARRIS,SIFT,0,115,17,7.60002400,7.57835700,0,0.00572500
HARRIS,SIFT,1,98,14,7.34484600,6.87581000,14,0.05365400
HARRIS,SIFT,2,113,18,9.69493000,7.56641700,11,0.03672600
HARRIS,SIFT,3,121,21,7.84079900,7.16733300,16,0.06697000
HARRIS,SIFT,4,160,26,7.96505600,6.95953300,19,0.08346400
HARRIS,SIFT,5,383,43,18.71082700,7.21249900,22,0.06981800
HARRIS,SIFT,6,85,18,7.35259100,7.18403400,22,0.09388700
HARRIS,SIFT,7,210,31,8.77935000,6.89423600,13,0.06934200
HARRIS,SIFT,8,171,26,8.13311100,7.19598400,24,0.09274400
HARRIS,SIFT,9,281,34,11.14360400,7.08488000,22,0.06518000

FAST,BRISK,0,5063,419,1.42504700,188.67964800,0,0.00353500
FAST,BRISK,1,4952,427,1.42331000,187.74379200,256,0.89785000
FAST,BRISK,2,4863,404,1.34434600,189.45136100,243,0.91409300
FAST,BRISK,3,4840,423,1.38886200,188.74990000,241,0.79878600
FAST,BRISK,4,4856,386,1.34108900,187.95094900,239,0.76432200
FAST,BRISK,5,4899,414,1.34602300,187.76505800,215,0.75655800
FAST,BRISK,6,4870,418,1.35434200,187.56340600,251,0.78218400
FAST,BRISK,7,4868,406,1.41197300,188.27228100,248,0.77553900
FAST,BRISK,8,4996,396,1.37897800,188.67807800,243,0.78568900
FAST,BRISK,9,4997,401,1.43680900,191.20237100,247,0.73913500

FAST,BRIEF,0,5063,419,1.40057400,1.00190400,0,0.00258700
FAST,BRIEF,1,4952,427,1.45098000,1.01096300,320,0.81057800
FAST,BRIEF,2,4863,404,1.36661500,0.98752800,332,0.74219700
FAST,BRIEF,3,4840,423,1.35866800,1.04089800,299,0.75621600
FAST,BRIEF,4,4856,386,1.33341400,0.93288700,331,0.75926800
FAST,BRIEF,5,4899,414,1.34376900,1.06660000,276,0.72165600
FAST,BRIEF,6,4870,418,1.38261400,1.01964400,327,0.78463500
FAST,BRIEF,7,4868,406,1.37365900,1.00016600,324,0.79983100
FAST,BRIEF,8,4996,396,1.42390200,0.97855100,315,0.75933000
FAST,BRIEF,9,4997,401,1.40483400,0.99067500,307,0.65065000

FAST,ORB,0,5063,419,1.38716700,1.07904800,0,0.72594100
FAST,ORB,1,4952,427,1.42835900,1.02294800,307,0.79085700
FAST,ORB,2,4863,404,1.34403100,1.06463600,308,0.85851200
FAST,ORB,3,4840,423,1.32596400,1.02999900,298,0.76143800
FAST,ORB,4,4856,386,1.39406600,0.98223900,321,0.76116500
FAST,ORB,5,4899,414,1.33809800,1.07713000,283,0.73718100
FAST,ORB,6,4870,418,1.35888900,1.01761100,315,0.76421400
FAST,ORB,7,4868,406,1.41866800,1.00421500,323,0.75385900
FAST,ORB,8,4996,396,1.48571900,1.05747500,302,0.79354700
FAST,ORB,9,4997,401,1.37942600,1.05209200,311,0.71598200

FAST,FREAK,0,5063,419,1.37894100,28.42912100,0,0.00405700
FAST,FREAK,1,4952,427,1.38736000,28.55157400,251,0.81038900
FAST,FREAK,2,4863,404,1.39085900,27.94975700,247,0.85599000
FAST,FREAK,3,4840,423,1.33925200,28.11172100,233,0.81716400
FAST,FREAK,4,4856,386,1.40812900,28.01213200,255,0.77806300
FAST,FREAK,5,4899,414,1.41923500,27.98479900,231,0.78768300
FAST,FREAK,6,4870,418,1.42090700,28.09837200,265,0.82361300
FAST,FREAK,7,4868,406,1.35528200,28.03187400,251,0.80235900
FAST,FREAK,8,4996,396,1.37896000,27.97416000,253,0.78539800
FAST,FREAK,9,4997,401,1.41412100,28.43350300,247,0.74275100

FAST,SIFT,0,5063,419,1.38400200,10.80270500,0,0.00348800
FAST,SIFT,1,4952,427,1.40660100,11.36312400,316,1.18729900
FAST,SIFT,2,4863,404,1.36348700,10.95505500,325,1.08654300
FAST,SIFT,3,4840,423,1.38082400,11.09029300,297,1.09048400
FAST,SIFT,4,4856,386,1.38349700,11.15588800,311,1.06326600
FAST,SIFT,5,4899,414,1.35716900,10.90335700,291,1.02586100
FAST,SIFT,6,4870,418,1.39228800,10.94838000,326,1.19082400
FAST,SIFT,7,4868,406,1.37649600,11.22235300,315,1.13767500
FAST,SIFT,8,4996,396,1.43530100,10.99932600,300,1.08760700
FAST,SIFT,9,4997,401,1.40549500,10.82591700,301,0.97613300

BRISK,BRISK,0,2757,264,214.73425700,187.47897600,0,0.00301900
BRISK,BRISK,1,2777,282,214.01287800,185.53028400,171,0.47896500
BRISK,BRISK,2,2741,282,212.90277400,186.59721100,176,0.50154400
BRISK,BRISK,3,2735,277,214.36203300,187.82475700,157,0.51952400
BRISK,BRISK,4,2757,297,214.29719600,187.09208300,176,0.52651600
BRISK,BRISK,5,2695,279,211.81766000,186.71501500,174,0.55651500
BRISK,BRISK,6,2715,289,216.53716100,188.99766800,188,0.53003400
BRISK,BRISK,7,2628,272,211.58080300,185.72053300,173,0.49784700
BRISK,BRISK,8,2639,266,212.65746000,186.89228300,171,0.50717200
BRISK,BRISK,9,2672,254,211.50549000,184.92966600,184,0.48652900

BRISK,BRIEF,0,2757,264,211.85259300,0.63730800,0,0.00264200
